"ref_distnm","Year","CountOfCAMPNAME","SumOfCPETALLC","SumOfCPETECOC","SumOfCPETLEPC","SumOfCPETBILC","SumOfCPETSPEC"
"Dr M L Garza-Gonzalez Charter School",2018,1,171.00,164.00,34.00,34.00,3.00
"Dr M L Garza-Gonzalez Charter School",2020,1,230.00,225.00,43.00,43.00,17.00
"Draw Academy",2005,1,244.00,244.00,190.00,190.00,11.00
"Draw Academy",2006,1,246.00,246.00,202.00,203.00,25.00
"Draw Academy",2007,1,221.00,221.00,198.00,198.00,22.00
"Draw Academy",2008,1,245.00,244.00,204.00,204.00,25.00
"Draw Academy",2009,1,264.00,264.00,195.00,195.00,16.00
"Draw Academy",2010,1,280.00,279.00,207.00,207.00,13.00
"Draw Academy",2011,1,293.00,293.00,219.00,219.00,12.00
"Draw Academy",2012,2,422.00,422.00,254.00,254.00,12.00
"Draw Academy",2013,2,477.00,476.00,332.00,332.00,10.00
"Draw Academy",2014,2,458.00,458.00,362.00,361.00,8.00
"Draw Academy",2015,2,542.00,542.00,422.00,420.00,9.00
"Draw Academy",2016,3,698.00,688.00,508.00,505.00,11.00
"Draw Academy",2017,3,660.00,627.00,513.00,511.00,8.00
"Draw Academy",2018,3,653.00,634.00,572.00,568.00,12.00
"Draw Academy",2019,1,649.00,636.00,576.00,575.00,17.00
"Draw Academy",2020,1,675.00,664.00,602.00,10.00,20.00
"Eagle Academies of Texas",2000,14,686.00,0.00,0.00,0.00,0.00
"Eagle Academies of Texas",2001,14,1855.00,6.00,0.00,0.00,139.00
"Eagle Academies of Texas",2002,14,1943.00,523.00,296.00,296.00,247.00
"Eagle Academies of Texas",2003,15,2307.00,1203.00,728.00,728.00,323.00
"Eagle Academies of Texas",2004,17,2472.00,1538.00,630.00,630.00,431.00
"Eagle Academies of Texas",2005,18,2479.00,1297.00,763.00,763.00,442.00
"Eagle Academies of Texas",2006,16,2244.00,1247.00,741.00,741.00,306.00
"Eagle Academies of Texas",2007,17,2420.00,1381.00,756.00,756.00,321.00
"Eagle Academies of Texas",2008,22,2681.00,1718.00,821.00,821.00,266.00
"Eagle Academies of Texas",2009,21,3110.00,2000.00,982.00,982.00,279.00
"Eagle Academies of Texas",2010,21,3163.00,2061.00,1052.00,1052.00,287.00
"Eagle Academies of Texas",2011,21,4334.00,2930.00,1177.00,1177.00,359.00
"Eagle Academies of Texas",2012,6,5092.00,2145.00,6.00,6.00,309.00
"Eagle Academies of Texas",2013,6,6519.00,3315.00,81.00,81.00,374.00
"Eagle Academies of Texas",2014,6,7331.00,3308.00,198.00,198.00,636.00
"Eagle Academies of Texas",2015,6,7911.00,3354.00,174.00,174.00,692.00
"Eagle Academies of Texas",2016,6,4621.00,2433.00,297.00,297.00,402.00
"Eagle Academies of Texas",2017,6,4860.00,2541.00,328.00,318.00,472.00
"Eagle Academies of Texas",2018,5,3586.00,1685.00,177.00,172.00,398.00
"Eagle Academies of Texas",2020,5,2270.00,665.00,89.00,83.00,193.00
"Eagle Project",2000,1,56.00,1.00,0.00,0.00,0.00
"Eagle Project",2001,1,121.00,1.00,0.00,0.00,13.00
"Eagle Project",2002,2,176.00,79.00,2.00,2.00,24.00
"Eagle Project",2003,1,119.00,78.00,22.00,22.00,13.00
"East Fort Worth Montessori Academy",2004,1,200.00,182.00,16.00,15.00,12.00
"East Fort Worth Montessori Academy",2005,1,218.00,204.00,19.00,19.00,14.00
"East Fort Worth Montessori Academy",2006,1,222.00,205.00,48.00,48.00,4.00
"East Fort Worth Montessori Academy",2007,1,247.00,208.00,73.00,77.00,6.00
"East Fort Worth Montessori Academy",2008,1,295.00,249.00,75.00,75.00,7.00
"East Fort Worth Montessori Academy",2009,1,306.00,279.00,85.00,85.00,14.00
"East Fort Worth Montessori Academy",2010,1,306.00,287.00,84.00,84.00,12.00
"East Fort Worth Montessori Academy",2011,1,355.00,319.00,86.00,86.00,13.00
"East Fort Worth Montessori Academy",2012,1,357.00,312.00,111.00,109.00,10.00
"East Fort Worth Montessori Academy",2013,2,549.00,426.00,148.00,145.00,12.00
"East Fort Worth Montessori Academy",2014,2,532.00,437.00,179.00,178.00,22.00
"East Fort Worth Montessori Academy",2015,2,492.00,409.00,159.00,159.00,19.00
"East Fort Worth Montessori Academy",2016,2,497.00,379.00,162.00,161.00,18.00
"East Fort Worth Montessori Academy",2017,2,520.00,387.00,181.00,178.00,17.00
"East Fort Worth Montessori Academy",2018,2,377.00,276.00,117.00,117.00,14.00
"East Fort Worth Montessori Academy",2019,1,302.00,225.00,85.00,85.00,11.00
"East Fort Worth Montessori Academy",2020,1,247.00,201.00,71.00,71.00,14.00
"East Texas Charter Schools",2000,1,52.00,27.00,0.00,0.00,0.00
"East Texas Charter Schools",2001,1,144.00,18.00,1.00,1.00,4.00
"East Texas Charter Schools",2002,1,143.00,19.00,1.00,1.00,7.00
"East Texas Charter Schools",2003,2,170.00,33.00,0.00,0.00,17.00
"East Texas Charter Schools",2004,1,140.00,29.00,0.00,0.00,7.00
"East Texas Charter Schools",2005,1,139.00,34.00,0.00,0.00,11.00
"East Texas Charter Schools",2006,1,135.00,45.00,0.00,0.00,13.00
"East Texas Charter Schools",2007,1,168.00,62.00,0.00,0.00,17.00
"East Texas Charter Schools",2008,1,162.00,54.00,0.00,0.00,27.00
"East Texas Charter Schools",2009,1,155.00,50.00,0.00,0.00,26.00
"East Texas Charter Schools",2010,1,157.00,49.00,0.00,0.00,21.00
"East Texas Charter Schools",2011,1,157.00,50.00,0.00,0.00,14.00
"East Texas Charter Schools",2012,1,165.00,58.00,0.00,0.00,15.00
"East Texas Charter Schools",2013,1,167.00,42.00,0.00,0.00,12.00
"East Texas Charter Schools",2014,1,173.00,51.00,0.00,0.00,10.00
"East Texas Charter Schools",2015,1,174.00,41.00,0.00,0.00,11.00
"East Texas Charter Schools",2016,1,167.00,40.00,0.00,0.00,12.00
"East Texas Charter Schools",2017,1,148.00,34.00,0.00,0.00,10.00
"East Texas Charter Schools",2018,1,140.00,42.00,0.00,0.00,13.00
"East Texas Charter Schools",2019,1,142.00,43.00,0.00,0.00,13.00
"East Texas Charter Schools",2020,1,147.00,47.00,0.00,0.00,12.00
"Education Center International",2002,3,234.00,11.00,7.00,1.00,42.00
"Education Center International",2003,3,347.00,47.00,3.00,1.00,69.00
"Education Center International",2004,3,332.00,61.00,4.00,4.00,61.00
"Education Center International",2005,3,370.00,123.00,19.00,19.00,77.00
"Education Center International",2006,3,417.00,142.00,14.00,13.00,64.00
"Education Center International",2007,3,432.00,128.00,35.00,34.00,63.00
"Education Center International",2008,6,807.00,219.00,41.00,39.00,105.00
"Education Center International",2009,7,944.00,253.00,27.00,26.00,110.00
"Education Center International",2010,7,962.00,372.00,11.00,11.00,103.00
"Education Center International",2011,7,881.00,389.00,42.00,42.00,119.00
"Education Center International",2012,6,793.00,342.00,27.00,27.00,100.00
"Education Center International",2013,6,786.00,429.00,50.00,47.00,122.00
"Education Center International",2014,6,1026.00,486.00,126.00,114.00,118.00
"Education Center International",2015,6,879.00,451.00,165.00,158.00,88.00
"Education Center International",2016,5,761.00,436.00,134.00,125.00,73.00
"Education Center International",2017,6,810.00,463.00,134.00,129.00,87.00
"Education Center International",2018,6,1052.00,647.00,162.00,161.00,106.00
"Education Center International",2020,6,1279.00,857.00,282.00,247.00,119.00
"Education Center International Aca",2019,3,595.00,328.00,39.00,38.00,59.00
"Ehrhart School",2002,1,127.00,49.00,0.00,0.00,21.00
"Ehrhart School",2003,1,237.00,126.00,0.00,0.00,24.00
"Ehrhart School",2004,1,161.00,128.00,0.00,1.00,24.00
"Ehrhart School",2005,1,226.00,187.00,0.00,0.00,30.00
"Ehrhart School",2006,1,227.00,190.00,0.00,0.00,23.00
"Ehrhart School",2007,1,199.00,170.00,0.00,0.00,15.00
"Ehrhart School",2008,1,186.00,156.00,0.00,0.00,13.00
"Ehrhart School",2009,1,197.00,174.00,6.00,6.00,13.00
"Ehrhart School",2010,1,214.00,189.00,21.00,21.00,11.00
"Ehrhart School",2011,1,202.00,179.00,26.00,26.00,10.00
"Ehrhart School",2012,1,228.00,193.00,34.00,34.00,14.00
"Ehrhart School",2013,1,251.00,216.00,45.00,45.00,14.00
"Ehrhart School",2014,1,274.00,241.00,68.00,67.00,12.00
"Ehrhart School",2015,1,286.00,242.00,79.00,79.00,11.00
"Ehrhart School",2016,1,366.00,303.00,118.00,118.00,14.00
"Ehrhart School",2017,1,357.00,293.00,156.00,156.00,12.00
"Ehrhart School",2018,1,387.00,319.00,194.00,193.00,17.00
"Ehrhart School",2019,1,430.00,378.00,232.00,231.00,28.00
"Ehrhart School",2020,1,458.00,412.00,266.00,265.00,40.00
"El Paso Academy",2001,1,99.00,99.00,29.00,29.00,0.00
"El Paso Academy",2002,1,340.00,241.00,172.00,0.00,20.00
"El Paso Academy",2003,1,421.00,310.00,164.00,12.00,33.00
"El Paso Academy",2004,1,559.00,383.00,102.00,18.00,39.00
"El Paso Academy",2005,2,501.00,316.00,17.00,6.00,59.00
"El Paso Academy",2006,2,458.00,319.00,24.00,17.00,30.00
"El Paso Academy",2007,2,463.00,302.00,24.00,22.00,40.00
"El Paso Academy",2008,2,462.00,322.00,28.00,23.00,37.00
"El Paso Academy",2009,2,440.00,304.00,7.00,7.00,35.00
"El Paso Academy",2010,2,462.00,312.00,44.00,43.00,34.00
"El Paso Academy",2011,2,449.00,294.00,37.00,31.00,40.00
"El Paso Academy",2012,2,400.00,282.00,23.00,18.00,22.00
"El Paso Academy",2013,2,479.00,338.00,34.00,31.00,31.00
"El Paso Academy",2014,2,417.00,285.00,33.00,29.00,30.00
"El Paso Academy",2015,2,456.00,243.00,47.00,42.00,36.00
"El Paso Academy",2016,2,362.00,270.00,34.00,31.00,27.00
"El Paso Academy",2017,2,381.00,275.00,22.00,22.00,24.00
"El Paso Academy",2018,2,453.00,274.00,30.00,28.00,40.00
"El Paso Academy",2019,2,364.00,244.00,26.00,25.00,28.00
"El Paso Academy",2020,2,346.00,265.00,27.00,25.00,32.00
"El Paso Leadership Academy",2015,1,77.00,56.00,12.00,11.00,8.00
"El Paso Leadership Academy",2016,1,181.00,136.00,17.00,5.00,17.00
"El Paso Leadership Academy",2017,1,245.00,195.00,48.00,48.00,20.00
"El Paso Leadership Academy",2018,1,192.00,169.00,43.00,41.00,19.00
"El Paso Leadership Academy",2019,1,207.00,191.00,88.00,82.00,19.00
"El Paso Leadership Academy",2020,1,217.00,199.00,126.00,121.00,17.00
"El Paso School Of Excellence",2001,1,185.00,150.00,50.00,0.00,6.00
"El Paso School Of Excellence",2002,2,394.00,241.00,90.00,78.00,18.00
"El Paso School Of Excellence",2003,2,458.00,373.00,128.00,113.00,22.00
"El Paso School Of Excellence",2004,2,497.00,277.00,188.00,129.00,26.00
"El Paso School Of Excellence",2005,2,549.00,511.00,220.00,167.00,30.00
"El Paso School Of Excellence",2006,2,449.00,421.00,134.00,152.00,18.00
"El Paso School Of Excellence",2007,2,489.00,456.00,222.00,175.00,29.00
"El Paso School Of Excellence",2008,2,491.00,472.00,142.00,103.00,20.00
"El Paso School Of Excellence",2009,2,443.00,390.00,260.00,256.00,22.00
"El Paso School Of Excellence",2010,2,456.00,406.00,212.00,181.00,24.00
"Eleanor Kolitz Hebrew Language Aca",2019,1,337.00,42.00,22.00,19.00,25.00
"Eleanor Kolitz Hebrew Language Academy",2014,1,196.00,22.00,5.00,5.00,5.00
"Eleanor Kolitz Hebrew Language Academy",2015,1,258.00,49.00,8.00,7.00,7.00
"Eleanor Kolitz Hebrew Language Academy",2016,1,280.00,40.00,10.00,10.00,6.00
"Eleanor Kolitz Hebrew Language Academy",2017,1,295.00,39.00,6.00,6.00,8.00
"Eleanor Kolitz Hebrew Language Academy",2018,1,319.00,36.00,14.00,14.00,15.00
"Eleanor Kolitz Hebrew Language Academy",2020,1,421.00,61.00,24.00,21.00,33.00
"Encino School",1999,1,61.00,53.00,9.00,9.00,1.00
"Encino School",2000,1,70.00,64.00,12.00,12.00,0.00
"Encino School",2001,1,69.00,64.00,12.00,12.00,2.00
"Encino School",2002,1,67.00,63.00,9.00,9.00,1.00
"Encino School",2003,1,62.00,45.00,8.00,8.00,2.00
"Encino School",2004,1,52.00,44.00,10.00,10.00,5.00
"Encino School",2005,1,57.00,45.00,6.00,6.00,6.00
"Encino School",2006,1,70.00,47.00,7.00,7.00,6.00
"Encino School",2007,1,73.00,58.00,11.00,11.00,8.00
"Encino School",2008,1,61.00,46.00,10.00,11.00,8.00
"Encino School",2009,1,49.00,34.00,6.00,7.00,5.00
"Encino School",2010,1,40.00,29.00,4.00,8.00,1.00
"Encino School",2011,1,32.00,26.00,2.00,4.00,1.00
"Erath Excels Academy",2007,1,135.00,70.00,2.00,2.00,21.00
"Erath Excels Academy",2008,1,85.00,50.00,0.00,0.00,20.00
"Erath Excels Academy",2009,2,155.00,117.00,0.00,0.00,46.00
"Erath Excels Academy",2010,2,158.00,136.00,0.00,0.00,35.00
"Erath Excels Academy",2011,2,162.00,125.00,5.00,5.00,28.00
"Erath Excels Academy",2012,2,170.00,146.00,6.00,5.00,24.00
"Erath Excels Academy",2013,2,168.00,151.00,9.00,9.00,24.00
"Erath Excels Academy",2014,2,208.00,181.00,14.00,14.00,25.00
"Erath Excels Academy",2015,2,193.00,146.00,8.00,8.00,25.00
"Erath Excels Academy",2016,2,159.00,134.00,7.00,7.00,15.00
"Erath Excels Academy",2017,2,136.00,119.00,11.00,10.00,14.00
"Erath Excels Academy",2018,2,115.00,92.00,9.00,9.00,15.00
"Erath Excels Academy",2020,2,114.00,114.00,10.00,10.00,10.00
"Erath Excels Academy Inc",2019,2,123.00,123.00,10.00,10.00,10.00
"Etoile Academy Charter School",2019,1,65.00,62.00,28.00,28.00,5.00
"Etoile Academy Charter School",2020,1,144.00,131.00,83.00,0.00,11.00
"Evolution Academy Charter School",2003,1,238.00,88.00,2.00,2.00,23.00
"Evolution Academy Charter School",2004,1,274.00,72.00,6.00,6.00,42.00
"Evolution Academy Charter School",2005,1,337.00,129.00,10.00,11.00,46.00
"Evolution Academy Charter School",2006,1,352.00,169.00,32.00,32.00,42.00
"Evolution Academy Charter School",2007,1,347.00,123.00,21.00,20.00,35.00
"Evolution Academy Charter School",2008,1,359.00,102.00,30.00,9.00,44.00
"Evolution Academy Charter School",2009,1,405.00,185.00,25.00,23.00,43.00
"Evolution Academy Charter School",2010,1,379.00,135.00,27.00,27.00,65.00
"Evolution Academy Charter School",2011,1,420.00,180.00,26.00,24.00,73.00
"Evolution Academy Charter School",2012,1,483.00,279.00,27.00,19.00,78.00
"Evolution Academy Charter School",2013,1,421.00,277.00,27.00,12.00,64.00
"Evolution Academy Charter School",2014,2,536.00,371.00,25.00,24.00,66.00
"Evolution Academy Charter School",2015,3,794.00,433.00,28.00,25.00,82.00
"Evolution Academy Charter School",2016,3,795.00,457.00,42.00,34.00,77.00
"Evolution Academy Charter School",2017,3,802.00,461.00,58.00,57.00,77.00
"Evolution Academy Charter School",2018,3,809.00,566.00,51.00,51.00,89.00
"Evolution Academy Charter School",2019,3,832.00,637.00,47.00,47.00,75.00
"Evolution Academy Charter School",2020,3,751.00,523.00,43.00,10.00,48.00
"Excel Academy",1999,1,596.00,596.00,25.00,24.00,80.00
"Excel Academy",2000,6,612.00,612.00,44.00,44.00,118.00
"Excel Academy",2001,6,665.00,665.00,54.00,54.00,99.00
"Excel Academy",2002,6,686.00,631.00,79.00,71.00,137.00
"Excel Academy",2003,6,649.00,648.00,46.00,46.00,127.00
"Excel Academy",2004,6,580.00,580.00,71.00,71.00,97.00
"Excel Academy",2005,6,667.00,667.00,89.00,90.00,109.00
"Excel Academy",2006,6,732.00,732.00,110.00,107.00,103.00
"Excel Academy",2007,5,698.00,698.00,81.00,81.00,66.00
"Excel Academy",2008,5,682.00,682.00,38.00,38.00,94.00
"Excel Academy",2009,6,602.00,602.00,55.00,55.00,107.00
"Excel Academy",2010,5,529.00,529.00,56.00,55.00,94.00
"Excel Academy",2011,4,487.00,487.00,57.00,55.00,113.00
"Excel Academy",2012,4,418.00,416.00,57.00,57.00,88.00
"Excel Academy",2013,4,441.00,441.00,70.00,69.00,83.00
"Excel Academy",2014,4,429.00,429.00,62.00,62.00,70.00
"Excel Academy",2015,4,476.00,476.00,41.00,41.00,71.00
"Excel Academy",2016,5,526.00,526.00,67.00,66.00,72.00
"Excel Academy",2017,5,565.00,565.00,63.00,58.00,97.00
"Excel Academy",2018,5,478.00,478.00,30.00,30.00,60.00
"Excel Academy",2019,5,444.00,444.00,56.00,56.00,63.00
"Excel Academy",2020,4,317.00,317.00,23.00,23.00,59.00
"Excellence In Leadership Academy",2013,1,59.00,53.00,40.00,39.00,3.00
"Excellence In Leadership Academy",2014,1,133.00,112.00,63.00,60.00,7.00
"Excellence In Leadership Academy",2015,1,185.00,159.00,130.00,130.00,11.00
"Excellence In Leadership Academy",2016,1,201.00,178.00,147.00,147.00,16.00
"Excellence In Leadership Academy",2017,1,239.00,225.00,157.00,156.00,19.00
"Excellence In Leadership Academy",2018,1,231.00,195.00,153.00,149.00,20.00
"Excellence In Leadership Academy",2019,1,242.00,197.00,155.00,163.00,20.00
"Excellence In Leadership Academy",2020,1,303.00,258.00,201.00,246.00,31.00
"Faith Family Academy Of Oak Cliff",2000,1,398.00,268.00,0.00,0.00,12.00
"Faith Family Academy Of Oak Cliff",2001,1,745.00,552.00,0.00,0.00,20.00
"Faith Family Academy Of Oak Cliff",2002,1,844.00,563.00,19.00,12.00,22.00
"Faith Family Academy Of Oak Cliff",2003,1,1018.00,848.00,16.00,10.00,50.00
"Faith Family Academy Of Oak Cliff",2004,1,1006.00,861.00,41.00,41.00,85.00
"Faith Family Academy Of Oak Cliff",2005,1,1006.00,925.00,95.00,89.00,75.00
"Faith Family Academy Of Oak Cliff",2006,1,1170.00,1069.00,172.00,169.00,91.00
"Faith Family Academy Of Oak Cliff",2007,1,1333.00,1117.00,141.00,237.00,107.00
"Faith Family Academy Of Oak Cliff",2008,1,1233.00,1227.00,357.00,326.00,88.00
"Faith Family Academy Of Oak Cliff",2009,3,1310.00,1199.00,519.00,475.00,80.00
"Faith Family Academy Of Oak Cliff",2010,3,1262.00,1250.00,575.00,534.00,106.00
"Faith Family Academy Of Oak Cliff",2011,3,1344.00,1294.00,632.00,611.00,93.00
"Faith Family Academy Of Oak Cliff",2012,3,1757.00,1646.00,855.00,834.00,104.00
"Faith Family Academy Of Oak Cliff",2013,3,2041.00,1937.00,988.00,960.00,107.00
"Faith Family Academy Of Oak Cliff",2014,3,2182.00,2095.00,1117.00,1103.00,104.00
"Faith Family Academy Of Oak Cliff",2015,3,2390.00,2280.00,1291.00,1271.00,107.00
"Fallbrook College Preparatory Academy",2013,1,352.00,200.00,0.00,0.00,13.00
"Fallbrook College Preparatory Academy",2014,1,642.00,368.00,0.00,0.00,28.00
"Fallbrook College Preparatory Academy",2015,1,556.00,371.00,0.00,0.00,30.00
"Fallbrook College Preparatory Academy",2016,1,491.00,358.00,11.00,11.00,21.00
"Focus Learning Academy",2000,1,117.00,1.00,0.00,0.00,28.00
"Focus Learning Academy",2001,1,195.00,1.00,0.00,0.00,72.00
"Focus Learning Academy",2002,1,381.00,190.00,0.00,0.00,149.00
"Focus Learning Academy",2003,1,388.00,221.00,0.00,0.00,151.00
"Focus Learning Academy",2004,1,500.00,162.00,0.00,0.00,161.00
"Focus Learning Academy",2005,1,430.00,172.00,0.00,0.00,130.00
"Focus Learning Academy",2006,1,421.00,162.00,0.00,0.00,98.00
"Focus Learning Academy",2007,1,381.00,219.00,0.00,0.00,83.00
"Focus Learning Academy",2008,1,325.00,281.00,0.00,0.00,75.00
"Focus Learning Academy",2009,1,412.00,352.00,31.00,31.00,86.00
"Focus Learning Academy",2010,1,552.00,487.00,18.00,18.00,170.00
"Focus Learning Academy",2011,1,719.00,589.00,19.00,18.00,174.00
"Focus Learning Academy",2012,1,902.00,718.00,11.00,10.00,216.00
"Focus Learning Academy",2013,1,920.00,761.00,12.00,11.00,173.00
"Focus Learning Academy",2014,1,888.00,732.00,10.00,9.00,140.00
"Focus Learning Academy",2015,1,885.00,883.00,8.00,8.00,132.00
"Focus Learning Academy",2016,1,1155.00,1155.00,44.00,14.00,158.00
"Focus Learning Academy",2017,1,1018.00,1004.00,24.00,10.00,142.00
"Fort Worth Academy Of Fine Arts",2002,1,123.00,0.00,0.00,0.00,5.00
"Fort Worth Academy Of Fine Arts",2003,1,256.00,43.00,0.00,0.00,11.00
"Fort Worth Academy Of Fine Arts",2004,1,321.00,63.00,2.00,0.00,18.00
"Fort Worth Academy Of Fine Arts",2005,1,345.00,66.00,2.00,0.00,22.00
"Fort Worth Academy Of Fine Arts",2006,1,356.00,59.00,0.00,0.00,30.00
"Fort Worth Academy Of Fine Arts",2007,2,368.00,59.00,0.00,0.00,36.00
"Fort Worth Academy Of Fine Arts",2008,2,374.00,52.00,2.00,2.00,23.00
"Fort Worth Academy Of Fine Arts",2009,2,385.00,48.00,2.00,2.00,19.00
"Fort Worth Academy Of Fine Arts",2010,2,417.00,64.00,2.00,3.00,25.00
"Fort Worth Academy Of Fine Arts",2011,2,482.00,58.00,3.00,3.00,21.00
"Fort Worth Academy Of Fine Arts",2012,2,505.00,59.00,4.00,4.00,19.00
"Fort Worth Academy Of Fine Arts",2013,2,521.00,99.00,3.00,3.00,17.00
"Fort Worth Academy Of Fine Arts",2014,2,523.00,74.00,1.00,1.00,14.00
"Fort Worth Academy Of Fine Arts",2015,2,517.00,78.00,0.00,0.00,13.00
"Fort Worth Academy Of Fine Arts",2016,2,516.00,73.00,0.00,0.00,12.00
"Fort Worth Academy Of Fine Arts",2017,2,569.00,56.00,9.00,0.00,17.00
"Fort Worth Academy Of Fine Arts",2018,2,570.00,55.00,6.00,6.00,19.00
"Fort Worth Academy Of Fine Arts",2019,2,577.00,51.00,10.00,10.00,27.00
"Fort Worth Academy Of Fine Arts",2020,2,524.00,70.00,10.00,10.00,31.00
"Fort Worth Can Academy",2001,1,201.00,123.00,0.00,0.00,7.00
"Fort Worth Can Academy",2002,2,356.00,259.00,0.00,0.00,29.00
"Fort Worth Can Academy",2003,2,503.00,413.00,64.00,50.00,43.00
"Fort Worth Can Academy",2004,2,712.00,539.00,89.00,71.00,97.00
"Fort Worth Can Academy",2005,2,661.00,552.00,90.00,74.00,89.00
"Fort Worth Can Academy",2006,2,619.00,437.00,91.00,54.00,77.00
"Fort Worth Can Academy",2007,2,620.00,497.00,97.00,87.00,60.00
"Fort Worth Can Academy",2008,2,838.00,624.00,114.00,91.00,94.00
"Fort Worth Can Academy",2009,2,620.00,482.00,63.00,50.00,66.00
"Fort Worth Can Academy",2010,2,712.00,604.00,78.00,75.00,85.00
"Fort Worth Can Academy",2011,2,560.00,465.00,54.00,52.00,70.00
"Fort Worth Can Academy",2012,2,654.00,585.00,42.00,42.00,69.00
"Fort Worth Can Academy",2013,2,639.00,584.00,34.00,34.00,73.00
"Fruit Of Excellence",2000,1,42.00,36.00,42.00,0.00,23.00
"Fruit Of Excellence",2001,1,41.00,32.00,0.00,0.00,18.00
"Fruit Of Excellence",2002,1,88.00,74.00,0.00,0.00,31.00
"Fruit Of Excellence",2003,1,57.00,0.00,0.00,0.00,1.00
"Fruit Of Excellence",2004,1,70.00,53.00,0.00,0.00,6.00
"Fruit Of Excellence",2005,1,37.00,28.00,0.00,0.00,10.00
"Fruit Of Excellence",2006,1,43.00,35.00,0.00,0.00,14.00
"Fruit Of Excellence",2007,1,51.00,41.00,0.00,0.00,23.00
"Fruit Of Excellence",2008,1,33.00,29.00,0.00,0.00,19.00
"Fruit Of Excellence",2009,1,22.00,21.00,0.00,0.00,7.00
"Fruit Of Excellence",2010,1,27.00,27.00,0.00,0.00,11.00
"Gabriel Tafolla Academy",1999,1,129.00,83.00,0.00,0.00,0.00
"Gabriel Tafolla Academy",2000,1,91.00,76.00,2.00,0.00,18.00
"Gabriel Tafolla Academy",2001,1,158.00,139.00,1.00,0.00,15.00
"Gabriel Tafolla Academy",2002,1,181.00,147.00,13.00,13.00,12.00
"Gabriel Tafolla Academy",2003,1,196.00,155.00,17.00,17.00,14.00
"Gabriel Tafolla Academy",2004,1,138.00,110.00,12.00,12.00,17.00
"Gabriel Tafolla Academy",2005,1,122.00,103.00,11.00,11.00,15.00
"Gabriel Tafolla Academy",2006,1,140.00,120.00,8.00,8.00,17.00
"Gabriel Tafolla Academy",2007,1,138.00,111.00,4.00,4.00,9.00
"Gabriel Tafolla Academy",2008,1,132.00,123.00,0.00,0.00,11.00
"Gabriel Tafolla Academy",2009,1,109.00,102.00,2.00,2.00,9.00
"Gabriel Tafolla Academy",2010,2,108.00,96.00,1.00,1.00,11.00
"Gabriel Tafolla Academy",2011,1,76.00,66.00,0.00,0.00,11.00
"Gabriel Tafolla Academy",2012,1,125.00,115.00,0.00,0.00,10.00
"Gateway Academy Charter District",2000,1,117.00,56.00,1.00,1.00,12.00
"Gateway Academy Charter District",2001,1,119.00,53.00,15.00,0.00,14.00
"Gateway Academy Charter District",2002,1,193.00,137.00,33.00,0.00,20.00
"Gateway Academy Charter District",2003,1,220.00,187.00,48.00,37.00,28.00
"Gateway Academy Charter District",2004,1,313.00,246.00,30.00,30.00,33.00
"Gateway Academy Charter District",2005,1,273.00,252.00,11.00,11.00,41.00
"Gateway Academy Charter District",2006,1,316.00,290.00,10.00,1.00,59.00
"Gateway Academy Charter District",2007,1,342.00,330.00,6.00,2.00,75.00
"Gateway Academy Charter District",2008,1,318.00,302.00,2.00,1.00,91.00
"Gateway Academy Charter District",2009,2,499.00,484.00,11.00,11.00,128.00
"Gateway Academy Charter District",2010,2,515.00,487.00,16.00,16.00,137.00
"Gateway Academy Charter District",2011,2,475.00,456.00,8.00,8.00,102.00
"Gateway Academy Charter District",2012,2,492.00,481.00,7.00,7.00,92.00
"Gateway Academy Charter District",2013,2,455.00,424.00,17.00,17.00,68.00
"Gateway Academy Charter District",2014,2,408.00,385.00,24.00,24.00,57.00
"Gateway Academy Charter District",2015,2,347.00,324.00,29.00,29.00,36.00
"Gateway Academy Charter District",2016,2,373.00,347.00,29.00,29.00,42.00
"Gateway Academy Charter District",2017,2,390.00,359.00,72.00,71.00,36.00
"Gateway Academy Charter District",2018,2,316.00,287.00,113.00,113.00,33.00
"Gateway Academy Charter District",2019,2,305.00,267.00,140.00,140.00,40.00
"Gateway Academy Charter District",2020,2,269.00,242.00,116.00,0.00,27.00
"Gateway Charter Academy",2002,1,110.00,94.00,0.00,0.00,7.00
"Gateway Charter Academy",2003,1,259.00,195.00,0.00,0.00,25.00
"Gateway Charter Academy",2004,1,329.00,239.00,0.00,0.00,36.00
"Gateway Charter Academy",2005,1,468.00,404.00,1.00,0.00,56.00
"Gateway Charter Academy",2006,1,540.00,476.00,5.00,5.00,52.00
"Gateway Charter Academy",2007,1,594.00,512.00,7.00,3.00,59.00
"Gateway Charter Academy",2008,2,637.00,561.00,11.00,11.00,63.00
"Gateway Charter Academy",2009,2,701.00,614.00,7.00,7.00,66.00
"Gateway Charter Academy",2010,2,797.00,725.00,5.00,5.00,67.00
"Gateway Charter Academy",2011,2,795.00,554.00,7.00,7.00,53.00
"Gateway Charter Academy",2012,2,811.00,729.00,6.00,6.00,53.00
"Gateway Charter Academy",2013,2,804.00,688.00,6.00,6.00,54.00
"Gateway Charter Academy",2014,2,779.00,673.00,6.00,6.00,61.00
"Gateway Charter Academy",2015,2,729.00,536.00,3.00,4.00,68.00
"Gateway Charter Academy",2016,2,747.00,517.00,3.00,3.00,70.00
"Gateway Charter Academy",2017,2,618.00,331.00,1.00,1.00,50.00
"Gateway Charter Academy",2018,2,753.00,753.00,2.00,0.00,39.00
